 Al Density=2.699
 Energy(eV), Delta, Beta
  10770.3926  4.70482018E-06  4.91758385E-08
  10920.5264  4.57532587E-06  4.65541632E-08
  11072.7529  4.44942498E-06  4.40715162E-08
  11227.1006  4.32701245E-06  4.17204831E-08
  11383.6006  4.20797187E-06  3.94942532E-08
  11542.2822  4.09221911E-06  3.73865099E-08
  11703.1748  3.97966414E-06  3.53910643E-08
  11866.3105  3.87021009E-06  3.35016708E-08
  12031.7207  3.76378625E-06  3.17125348E-08
  12199.4365  3.66031168E-06  3.00189633E-08
  12369.4902  3.55968155E-06  2.84150996E-08
  12541.9141  3.46181832E-06  2.68969593E-08
  12716.7412  3.36665858E-06  2.54597126E-08
  12894.0059  3.27413181E-06  2.40991653E-08
  13073.7412  3.18416051E-06  2.28111681E-08
  13255.9824  3.09666325E-06  2.15916032E-08
  13440.7637  3.01158821E-06  2.04373709E-08
  13628.1211  2.92885011E-06  1.93444727E-08
  13818.0889  2.84840007E-06  1.83101516E-08
  14010.7061  2.77016329E-06  1.73309775E-08
  14206.0068  2.6940761E-06  1.64041456E-08
  14404.0312  2.62008894E-06  1.55268989E-08
  14604.8164  2.54815382E-06  1.46964787E-08
  14808.3994  2.47818048E-06  1.39107206E-08
  15014.8203  2.41014391E-06  1.31667335E-08
  15224.1182  2.34398863E-06  1.24621184E-08
  15436.335  2.2796512E-06  1.17952101E-08
  15651.5098  2.21708729E-06  1.11640182E-08
  15869.6816  2.15624254E-06  1.05666365E-08
  16090.8965  2.09706377E-06  1.00013198E-08
  16315.1953  2.03953073E-06  9.46635215E-09
  16542.6191  1.98357634E-06  8.95994123E-09
  16773.2148  1.92915672E-06  8.48071569E-09
  17007.0254  1.87623891E-06  8.02716027E-09
  17244.0938  1.82477629E-06  7.59794538E-09
  17484.4668  1.77472521E-06  7.19183202E-09
  17728.1914  1.72604962E-06  6.80754031E-09
  17975.3125  1.67871735E-06  6.44382681E-09
  18225.8789  1.63268317E-06  6.09970208E-09
  18479.9375  1.58792091E-06  5.7740257E-09
  18737.5371  1.54438669E-06  5.46584022E-09
  18998.7285  1.50204596E-06  5.17425436E-09
  19263.5605  1.46087029E-06  4.89835283E-09
  19532.084  1.42082865E-06  4.63730432E-09
  19804.3516  1.3818842E-06  4.39019843E-09
  20080.4141  1.3440075E-06  4.15544132E-09
  20360.3223  1.30717751E-06  3.93419253E-09
  20644.1348  1.27135672E-06  3.72498676E-09
  20931.9023  1.23651751E-06  3.52718321E-09
  21223.6816  1.20263712E-06  3.3401597E-09
  21519.5293  1.16968874E-06  3.1633165E-09
  21819.5  1.13764293E-06  2.99610647E-09
  22123.6523  1.10647534E-06  2.83797918E-09
  22432.0449  1.07616859E-06  2.68845213E-09
  22744.7324  1.04669232E-06  2.54706234E-09
  23061.7832  1.018023E-06  2.4133644E-09
  23383.252  9.90142553E-07  2.28693686E-09
  23709.2012  9.63026196E-07  2.16738294E-09
  24039.6953  9.36649997E-07  2.05432693E-09
  24374.7949  9.1100128E-07  1.94741423E-09
  24714.5664  8.8606032E-07  1.84630689E-09
  25059.0742  8.61797105E-07  1.75069681E-09
  25408.3848  8.38201856E-07  1.66026604E-09
  25762.5645  8.15257124E-07  1.57474123E-09
  26121.6797  7.92940455E-07  1.49385637E-09
  26485.8008  7.71233204E-07  1.41735468E-09
  26855.  7.50123661E-07  1.34500799E-09
  27229.3438  7.29591932E-07  1.2765734E-09
  27608.9062  7.09622213E-07  1.21184474E-09
  27993.7598  6.90199045E-07  1.15061538E-09
  28383.9766  6.71310488E-07  1.0926986E-09
  28779.6348  6.52940287E-07  1.03791065E-09
  29180.8066  6.35072865E-07  9.86082216E-10
  29587.5723  6.17692933E-07  9.37052547E-10
  30000.0059  6.00782073E-07  8.90665874E-10
