 Pb Density=11.35
 Energy(eV), Delta, Beta
  1685.0791  0.000456817972  0.00013048308
  1708.56824  0.000443981611  0.000124963044
  1732.38477  0.000431438617  0.000119653741
  1756.53333  0.000419155142  0.0001145188
  1781.01831  0.000407095213  0.000109584922
  1805.84485  0.000395244104  0.000104845189
  1831.01721  0.00038361465  0.000100311496
  1856.54065  0.000372209208  9.59743775E-05
  1882.41992  0.000361022801  9.18243386E-05
  1908.65979  0.000350048213  8.78534411E-05
  1935.2655  0.000339277467  8.40546199E-05
  1962.24194  0.000328700698  8.04197989E-05
  1989.59473  0.000318275415  7.69414764E-05
  2017.32861  0.000308043556  7.36440124E-05
  2045.44897  0.000297979248  7.04463309E-05
  2073.96143  0.000288032898  6.73639879E-05
